"name","year","status","wind"
"Amy",1975,"tropical depression",25
"Amy",1975,"tropical depression",25
"Amy",1975,"tropical depression",25
"Amy",1975,"tropical depression",25
"Amy",1975,"tropical depression",25
"Amy",1975,"tropical depression",25
"Amy",1975,"tropical depression",25
"Amy",1975,"tropical depression",30
"Amy",1975,"tropical storm",35
"Amy",1975,"tropical storm",40
"Amy",1975,"tropical storm",45
"Amy",1975,"tropical storm",50
"Amy",1975,"tropical storm",50
"Amy",1975,"tropical storm",55
"Amy",1975,"tropical storm",60
"Amy",1975,"tropical storm",60
"Amy",1975,"tropical storm",60
"Amy",1975,"tropical storm",60
"Amy",1975,"tropical storm",60
"Amy",1975,"tropical storm",60
"Amy",1975,"tropical storm",60
"Amy",1975,"tropical storm",60
"Amy",1975,"tropical storm",60
"Amy",1975,"tropical storm",60
"Amy",1975,"tropical storm",55
"Amy",1975,"tropical storm",55
"Amy",1975,"tropical storm",55
"Amy",1975,"tropical storm",50
"Amy",1975,"tropical storm",50
"Amy",1975,"tropical storm",50
"Amy",1975,"extratropical",45
"Blanche",1975,"tropical depression",20
"Blanche",1975,"tropical depression",20
"Blanche",1975,"tropical depression",25
"Blanche",1975,"tropical depression",30
"Blanche",1975,"tropical depression",30
"Blanche",1975,"tropical depression",30
"Blanche",1975,"tropical depression",30
"Blanche",1975,"tropical depression",30
"Blanche",1975,"tropical depression",30
"Blanche",1975,"tropical storm",35
"Blanche",1975,"tropical storm",35
"Blanche",1975,"tropical storm",50
"Blanche",1975,"tropical storm",60
"Blanche",1975,"hurricane",65
"Blanche",1975,"hurricane",70
"Blanche",1975,"hurricane",75
"Blanche",1975,"hurricane",75
"Blanche",1975,"hurricane",70
"Blanche",1975,"extratropical",60
"Blanche",1975,"extratropical",60
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",25
"Caroline",1975,"tropical depression",30
"Caroline",1975,"tropical storm",35
"Caroline",1975,"tropical storm",40
"Caroline",1975,"tropical storm",50
"Caroline",1975,"hurricane",65
"Caroline",1975,"hurricane",65
"Caroline",1975,"hurricane",65
"Caroline",1975,"hurricane",70
"Caroline",1975,"hurricane",100
"Caroline",1975,"hurricane",100
"Caroline",1975,"hurricane",90
"Caroline",1975,"tropical storm",55
"Caroline",1975,"tropical depression",30
"Caroline",1975,"tropical depression",20
"Caroline",1975,"tropical depression",20
"Doris",1975,"subtropical storm",35
"Doris",1975,"subtropical storm",40
"Doris",1975,"subtropical storm",40
"Doris",1975,"subtropical storm",45
"Doris",1975,"tropical storm",45
"Doris",1975,"tropical storm",50
"Doris",1975,"tropical storm",55
"Doris",1975,"tropical storm",55
"Doris",1975,"tropical storm",55
"Doris",1975,"tropical storm",55
"Doris",1975,"hurricane",65
"Doris",1975,"hurricane",65
"Doris",1975,"hurricane",70
"Doris",1975,"hurricane",70
"Doris",1975,"hurricane",75
"Doris",1975,"hurricane",75
"Doris",1975,"hurricane",75
"Doris",1975,"hurricane",75
"Doris",1975,"hurricane",90
"Doris",1975,"hurricane",95
"Doris",1975,"hurricane",95
"Doris",1975,"hurricane",95
"Doris",1975,"hurricane",95
"Doris",1975,"hurricane",95
"Doris",1975,"hurricane",95
"Doris",1975,"hurricane",90
"Doris",1975,"tropical storm",60
"Doris",1975,"extratropical",45
"Doris",1975,"extratropical",45
"Eloise",1975,"tropical depression",25
"Eloise",1975,"tropical depression",25
"Eloise",1975,"tropical depression",25
"Eloise",1975,"tropical depression",25
"Eloise",1975,"tropical depression",25
"Eloise",1975,"tropical depression",25
"Eloise",1975,"tropical depression",25
"Eloise",1975,"tropical depression",25
"Eloise",1975,"tropical depression",30
"Eloise",1975,"tropical depression",30
"Eloise",1975,"tropical storm",35
"Eloise",1975,"tropical storm",45
"Eloise",1975,"tropical storm",55
"Eloise",1975,"hurricane",65
"Eloise",1975,"hurricane",65
"Eloise",1975,"tropical storm",60
"Eloise",1975,"tropical storm",55
"Eloise",1975,"tropical storm",50
"Eloise",1975,"tropical storm",45
"Eloise",1975,"tropical storm",45
"Eloise",1975,"tropical storm",40
"Eloise",1975,"tropical storm",40
"Eloise",1975,"tropical storm",35
"Eloise",1975,"tropical storm",35
"Eloise",1975,"tropical storm",35
"Eloise",1975,"tropical storm",35
"Eloise",1975,"tropical storm",35
"Eloise",1975,"tropical storm",35
"Eloise",1975,"tropical storm",35
"Eloise",1975,"tropical storm",35
"Eloise",1975,"tropical storm",40
"Eloise",1975,"tropical storm",45
"Eloise",1975,"tropical storm",50
"Eloise",1975,"tropical storm",55
"Eloise",1975,"tropical storm",60
"Eloise",1975,"hurricane",65
"Eloise",1975,"hurricane",75
"Eloise",1975,"hurricane",85
"Eloise",1975,"hurricane",95
"Eloise",1975,"hurricane",105
"Eloise",1975,"hurricane",110
"Eloise",1975,"tropical storm",55
"Eloise",1975,"tropical depression",30
"Eloise",1975,"extratropical",20
"Eloise",1975,"extratropical",20
"Eloise",1975,"extratropical",20
"Faye",1975,"tropical depression",25
"Faye",1975,"tropical depression",30
"Faye",1975,"tropical storm",35
"Faye",1975,"tropical storm",45
"Faye",1975,"tropical storm",60
"Faye",1975,"hurricane",65
"Faye",1975,"hurricane",70
"Faye",1975,"hurricane",75
"Faye",1975,"hurricane",85
"Faye",1975,"hurricane",90
"Faye",1975,"hurricane",90
"Faye",1975,"hurricane",90
"Faye",1975,"hurricane",90
"Faye",1975,"hurricane",85
"Faye",1975,"hurricane",80
"Faye",1975,"hurricane",75
"Faye",1975,"hurricane",75
"Faye",1975,"hurricane",70
"Faye",1975,"hurricane",65
"Gladys",1975,"tropical depression",25
"Gladys",1975,"tropical depression",25
"Gladys",1975,"tropical depression",25
"Gladys",1975,"tropical depression",25
"Gladys",1975,"tropical depression",30
"Gladys",1975,"tropical depression",30
"Gladys",1975,"tropical depression",30
"Gladys",1975,"tropical depression",30
"Gladys",1975,"tropical storm",35
"Gladys",1975,"tropical storm",40
"Gladys",1975,"tropical storm",50
"Gladys",1975,"tropical storm",60
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",65
"Gladys",1975,"hurricane",70
"Gladys",1975,"hurricane",70
"Gladys",1975,"hurricane",75
"Gladys",1975,"hurricane",80
"Gladys",1975,"hurricane",80
"Gladys",1975,"hurricane",80
"Gladys",1975,"hurricane",80
"Gladys",1975,"hurricane",80
"Gladys",1975,"hurricane",80
"Gladys",1975,"hurricane",80
"Gladys",1975,"hurricane",90
"Gladys",1975,"hurricane",100
"Gladys",1975,"hurricane",110
"Gladys",1975,"hurricane",120
"Gladys",1975,"hurricane",120
"Gladys",1975,"hurricane",110
"Gladys",1975,"hurricane",85
"Gladys",1975,"hurricane",85
"Gladys",1975,"extratropical",75
"Gladys",1975,"extratropical",65
"Hallie",1975,"subtropical depression",30
"Hallie",1975,"subtropical depression",30
"Hallie",1975,"subtropical depression",30
"Hallie",1975,"subtropical depression",30
"Hallie",1975,"subtropical depression",30
"Hallie",1975,"subtropical depression",30
"Hallie",1975,"tropical depression",30
"Hallie",1975,"tropical depression",30
"Hallie",1975,"tropical storm",35
"Hallie",1975,"tropical storm",45
"Hallie",1975,"tropical storm",45
"Hallie",1975,"tropical storm",45
"Hallie",1975,"extratropical",40
"Hallie",1975,"extratropical",35
"Belle",1976,"tropical depression",25
"Belle",1976,"tropical depression",25
"Belle",1976,"tropical depression",30
"Belle",1976,"tropical storm",40
"Belle",1976,"tropical storm",45
"Belle",1976,"tropical storm",55
"Belle",1976,"hurricane",70
"Belle",1976,"hurricane",80
"Belle",1976,"hurricane",90
"Belle",1976,"hurricane",95
"Belle",1976,"hurricane",100
"Belle",1976,"hurricane",105
"Belle",1976,"hurricane",105
"Belle",1976,"hurricane",95
"Belle",1976,"hurricane",90
"Belle",1976,"hurricane",80
"Belle",1976,"tropical storm",60
"Belle",1976,"tropical storm",35
"Dottie",1976,"tropical depression",20
"Dottie",1976,"tropical depression",20
"Dottie",1976,"tropical depression",30
"Dottie",1976,"tropical storm",35
"Dottie",1976,"tropical storm",45
"Dottie",1976,"tropical storm",40
"Dottie",1976,"tropical storm",35
"Dottie",1976,"tropical storm",35
"Dottie",1976,"tropical depression",25
"Dottie",1976,"tropical depression",20
"Candice",1976,"tropical depression",30
"Candice",1976,"tropical storm",35
"Candice",1976,"tropical storm",40
"Candice",1976,"tropical storm",40
"Candice",1976,"tropical storm",35
"Candice",1976,"tropical storm",35
"Candice",1976,"tropical storm",40
"Candice",1976,"hurricane",65
"Candice",1976,"hurricane",65
"Candice",1976,"hurricane",80
"Candice",1976,"hurricane",80
"Emmy",1976,"tropical depression",20
"Emmy",1976,"tropical depression",25
"Emmy",1976,"tropical depression",25
"Emmy",1976,"tropical depression",30
"Emmy",1976,"tropical storm",35
"Emmy",1976,"tropical storm",40
"Emmy",1976,"tropical storm",50
"Emmy",1976,"tropical storm",55
"Emmy",1976,"tropical storm",55
"Emmy",1976,"tropical storm",55
"Emmy",1976,"tropical storm",55
"Emmy",1976,"tropical storm",60
"Emmy",1976,"tropical storm",60
"Emmy",1976,"hurricane",65
"Emmy",1976,"hurricane",65
"Emmy",1976,"hurricane",70
