"name","year","wind"
"Blanche",1975,65
"Blanche",1975,70
"Blanche",1975,75
"Blanche",1975,75
"Blanche",1975,70
"Caroline",1975,65
"Caroline",1975,65
"Caroline",1975,65
"Caroline",1975,70
"Caroline",1975,100
"Caroline",1975,100
"Caroline",1975,90
"Doris",1975,65
"Doris",1975,65
"Doris",1975,70
"Doris",1975,70
"Doris",1975,75
"Doris",1975,75
"Doris",1975,75
"Doris",1975,75
"Doris",1975,90
"Doris",1975,95
"Doris",1975,95
"Doris",1975,95
"Doris",1975,95
"Doris",1975,95
"Doris",1975,95
"Doris",1975,90
"Eloise",1975,65
"Eloise",1975,65
"Eloise",1975,65
"Eloise",1975,75
"Eloise",1975,85
"Eloise",1975,95
"Eloise",1975,105
"Eloise",1975,110
"Faye",1975,65
"Faye",1975,70
"Faye",1975,75
"Faye",1975,85
"Faye",1975,90
"Faye",1975,90
"Faye",1975,90
"Faye",1975,90
"Faye",1975,85
"Faye",1975,80
"Faye",1975,75
"Faye",1975,75
"Faye",1975,70
"Faye",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,65
"Gladys",1975,70
"Gladys",1975,70
"Gladys",1975,75
"Gladys",1975,80
"Gladys",1975,80
"Gladys",1975,80
"Gladys",1975,80
"Gladys",1975,80
"Gladys",1975,80
"Gladys",1975,80
"Gladys",1975,90
"Gladys",1975,100
"Gladys",1975,110
"Gladys",1975,120
"Gladys",1975,120
"Gladys",1975,110
"Gladys",1975,85
"Gladys",1975,85
"Belle",1976,70
"Belle",1976,80
"Belle",1976,90
"Belle",1976,95
"Belle",1976,100
"Belle",1976,105
"Belle",1976,105
"Belle",1976,95
"Belle",1976,90
"Belle",1976,80
"Candice",1976,65
"Candice",1976,65
"Candice",1976,80
"Candice",1976,80
"Emmy",1976,65
"Emmy",1976,65
"Emmy",1976,70
"Emmy",1976,75
"Emmy",1976,80
"Emmy",1976,85
"Emmy",1976,85
"Emmy",1976,85
"Emmy",1976,90
"Emmy",1976,90
"Emmy",1976,85
"Emmy",1976,80
"Emmy",1976,75
"Emmy",1976,70
"Emmy",1976,65
"Emmy",1976,65
"Frances",1976,65
"Frances",1976,65
"Frances",1976,65
"Frances",1976,75
"Frances",1976,90
"Frances",1976,100
"Frances",1976,95
"Frances",1976,65
"Gloria",1976,65
"Gloria",1976,65
"Gloria",1976,70
"Gloria",1976,80
"Gloria",1976,85
"Gloria",1976,90
"Gloria",1976,90
"Gloria",1976,90
"Gloria",1976,85
"Gloria",1976,80
